id,session_id,user_id,experiment_group,event_type,event_data,page_url,timestamp,relative_t_ms,created_at
1016,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743843855}}",http://localhost:3000/login,1766743843872,,2025-12-26 10:10:43
1017,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743845862}}",http://localhost:3000/login,1766743845870,,2025-12-26 10:10:45
1018,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743846857}}",http://localhost:3000/login,1766743846874,,2025-12-26 10:10:46
1019,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743848865}}",http://localhost:3000/login,1766743848881,,2025-12-26 10:10:48
1020,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743849857}}",http://localhost:3000/login,1766743849862,,2025-12-26 10:10:49
1021,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743851853}}",http://localhost:3000/login,1766743851858,,2025-12-26 10:10:51
1022,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743852866}}",http://localhost:3000/login,1766743852876,,2025-12-26 10:10:52
1023,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743854854}}",http://localhost:3000/login,1766743854864,,2025-12-26 10:10:54
1024,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743856853}}",http://localhost:3000/login,1766743856863,,2025-12-26 10:10:56
1025,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743857860}}",http://localhost:3000/login,1766743857878,,2025-12-26 10:10:57
1026,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743858857}}",http://localhost:3000/login,1766743858865,,2025-12-26 10:10:59
1027,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743859857}}",http://localhost:3000/login,1766743859874,,2025-12-26 10:10:59
1028,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743860854}}",http://localhost:3000/login,1766743860863,,2025-12-26 10:11:00
1029,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743861856}}",http://localhost:3000/login,1766743861875,,2025-12-26 10:11:01
1030,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766743867854}}",http://localhost:3000/login,1766743867872,,2025-12-26 10:11:07
1031,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766743870859}}",http://localhost:3000/login,1766743870878,,2025-12-26 10:11:10
1032,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766743871868}}",http://localhost:3000/login,1766743871880,,2025-12-26 10:11:11
1033,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743872853}}",http://localhost:3000/login,1766743872869,,2025-12-26 10:11:12
1034,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743873865}}",http://localhost:3000/login,1766743873876,,2025-12-26 10:11:14
1035,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743877862}}",http://localhost:3000/login,1766743877879,,2025-12-26 10:11:17
1036,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766743879857}}",http://localhost:3000/login,1766743879873,,2025-12-26 10:11:19
1037,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743881862}}",http://localhost:3000/login,1766743881872,,2025-12-26 10:11:21
1038,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743882859}}",http://localhost:3000/login,1766743882865,,2025-12-26 10:11:22
1039,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743883870}}",http://localhost:3000/login,1766743883876,,2025-12-26 10:11:23
1040,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743884855}}",http://localhost:3000/login,1766743884859,,2025-12-26 10:11:24
1041,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743885866}}",http://localhost:3000/login,1766743885876,,2025-12-26 10:11:25
1042,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743886862}}",http://localhost:3000/login,1766743886881,,2025-12-26 10:11:26
1043,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766743887859}}",http://localhost:3000/login,1766743887869,,2025-12-26 10:11:27
1044,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743890861}}",http://localhost:3000/login,1766743890878,,2025-12-26 10:11:30
1045,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743891856}}",http://localhost:3000/login,1766743891865,,2025-12-26 10:11:31
1046,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743892853}}",http://localhost:3000/login,1766743892866,,2025-12-26 10:11:32
1047,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743893864}}",http://localhost:3000/login,1766743893870,,2025-12-26 10:11:33
